yr,st,st_ansi,cty,cty_ansi,zip,netinc,st_cty_yr,fertilizer,fuel,labor,land,machinery,tractors,trucks
2017,ALABAMA,1,AUTAUGA,1.0,,"6,781,000",ALABAMA_AUTAUGA_2017,"2,295,000","1,099,000","1,985,000","36,890","35,869,000",673,607
2017,ALABAMA,1,BULLOCK,11.0,,"18,322,000",ALABAMA_BULLOCK_2017,"1,604,000","2,179,000","6,042,000","19,969","21,232,000",520,563
2017,ALABAMA,1,DALLAS,47.0,,"18,518,000",ALABAMA_DALLAS_2017,"4,982,000","2,619,000","5,943,000","76,697","65,614,000","1,296",878
2017,ALABAMA,1,ELMORE,51.0,,"5,298,000",ALABAMA_ELMORE_2017,"2,657,000","1,962,000","2,110,000","34,857","40,653,000",874,765
2017,ALABAMA,1,GREENE,63.0,,"6,458,000",ALABAMA_GREENE_2017,"390,000","1,086,000","2,360,000","20,423","30,928,000",834,569
2017,ALABAMA,1,HALE,65.0,,"17,715,000",ALABAMA_HALE_2017,"1,518,000","1,853,000","2,575,000","20,732","39,944,000","1,007",764
2017,ALABAMA,1,LOWNDES,85.0,,"23,028,000",ALABAMA_LOWNDES_2017,"1,925,000","2,455,000","3,098,000","46,465","54,020,000",868,808
2017,ALABAMA,1,MACON,87.0,,"-1,897,000",ALABAMA_MACON_2017,"3,011,000","1,435,000","4,615,000","40,813","36,859,000",610,602
2017,ALABAMA,1,MARENGO,91.0,,"3,632,000",ALABAMA_MARENGO_2017,"1,458,000","1,358,000","1,606,000","28,043","37,262,000",836,677
2017,ALABAMA,1,MONTGOMERY,101.0,,"10,030,000",ALABAMA_MONTGOMERY_2017,"2,503,000","1,869,000","6,063,000","56,953","47,007,000","1,029",870
2017,ALABAMA,1,PERRY,105.0,,"13,445,000",ALABAMA_PERRY_2017,"1,745,000","1,176,000","3,340,000","41,229","33,620,000",668,588
2017,ALABAMA,1,SUMTER,119.0,,"7,006,000",ALABAMA_SUMTER_2017,"1,142,000","1,148,000","1,799,000","31,110","29,982,000",724,566
2017,ALABAMA,1,BALDWIN,3.0,,"29,837,000",ALABAMA_BALDWIN_2017,"13,045,000","5,053,000","15,444,000","110,438","114,930,000","1,764","1,551"
2017,ALABAMA,1,BUTLER,13.0,,"38,843,000",ALABAMA_BUTLER_2017,"1,194,000","2,175,000","2,912,000","17,717","35,170,000",726,593
2017,ALABAMA,1,CHOCTAW,23.0,,"2,524,000",ALABAMA_CHOCTAW_2017,"305,000","303,000","353,000","6,618","12,875,000",331,283
